campaign_id,zone_name,allocated_impressions,zone_zpr,zone_capacity,total_allocated,allocation_weight
3607,Screensaver2,0.0,1.0,0.0,0.0,0.0
3607,Screensaver1,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX3 Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX1/eX3 High Capacity Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
3607,eX1/eX3 High Capacity Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
3607,eX2 Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
3607,IFE Seatback Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX3 Welcome Screensaver Interstitial 1,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX1/eX3 High Capacity Welcome Screensaver Interstitial 1,0.0,1.0,0.0,0.0,0.0
3607,eX1/eX3 High Capacity Welcome Screensaver Interstitial 1,0.0,1.0,0.0,0.0,0.0
3607,eX2 Welcome Screensaver Interstitial 1,0.0,1.0,0.0,0.0,0.0
3607,IFE Seatback Welcome Screensaver Interstitial 1,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX3 Welcome Screensaver Interstitial 3,0.0,1.0,0.0,0.0,0.0
3607,AdPool eX1/eX3 High Capacity Welcome Screensaver Interstitial 3,0.0,1.0,0.0,0.0,0.0
3607,eX1/eX3 High Capacity Welcome Screensaver Interstitial 3,0.0,1.0,0.0,0.0,0.0
3607,eX2 Welcome Screensaver Interstitial 3,0.0,1.0,0.0,0.0,0.0
3607,eX1 Kinai Welcome Screensaver Interstitial 3,-0.0,1.0,0.0,0.0,0.0
3607,IFE Seatback Welcome Screensaver Interstitial 3,0.0,1.0,0.0,0.0,0.0
3607,eX1 Kinai Welcome Screensaver Interstitial 2,0.0,1.0,0.0,0.0,0.0
2335,  TV Comedy & Drama Small Poster ,0.0,1.0,0.0,0.0,0.0
2335,  Movies New Releases Small Poster ,0.0,1.0,0.0,0.0,0.0
2335,  Games Action & Arcade Small Poster ,-0.0,1.0,0.0,0.0,0.0
2335,Music Mandarin Hits Small Poster,0.0,1.0,0.0,0.0,0.0
2336,Home Page Skyscraper,-0.0,1.0,0.0,0.0,0.0
2987,Home Page Carousel 3 (Position 5),0.0,1.0,0.0,0.0,0.0
2987,Home Page Carousel 2 (Position 3),-0.0,1.0,0.0,0.0,0.0
3853,Movies UK Cinema Large Poster,0.0,1.0,0.0,0.0,0.0
3853,Movies Hollywood Large Poster,-0.0,1.0,0.0,0.0,0.0
3853,Movies Golden Globe Large Poster,0.0,1.0,0.0,0.0,0.0
3853,Movies All Large Poster,0.0,1.0,0.0,0.0,0.0
3853,Movies DC Super Heroes Large Poster,0.0,1.0,0.0,0.0,0.0
3853,  Movies by Genre Large Poster ,0.0,1.0,0.0,0.0,0.0
3853,  Movies by Soundtrack Large Poster ,0.0,1.0,0.0,0.0,0.0
3853,  Movies Family Large Poster ,0.0,1.0,0.0,0.0,0.0
3853,  Movies Award Focus Large Poster ,0.0,1.0,0.0,0.0,0.0
3853,  Movies World Cinema Large Poster ,0.0,1.0,0.0,0.0,0.0
3853,  Movies New Releases Large Poster,0.0,1.0,0.0,0.0,0.0
6535,b_home_r4b_3,0.0,0.0646,486.87,0.0,0.0
6535,b_tv_tv_under_a_half_hour2,0.0,0.0735,4207.59,0.0,0.0
6535,b_tv_concerts_live_events2,0.0,0.0327,12468.36,0.0,0.0
6535,b_featured_apple_tv2,0.0,0.0238,372.77,0.0,0.0
6535,b_tv_apple_tv2,0.0,0.0751,18373.83,0.0,0.0
6535,b_movies_rock_solid2,0.0,1.0,0.0,0.0,0.0
6535,b_tv_stand-up_comedy2,0.0,0.0797,718.66,0.0,0.0
6535,b_movies_movies_with_japanese_subtitles2,0.0,1.0,0.0,0.0,0.0
6535,b_featured_apple_tv_shows2,0.0,0.1027,769.05,0.0,0.0
